country,year,sex,age,population,suicides/100k pop,HDI for year,gdp_per_capita ($),generation
Albania,1987,male,15-24,medium_population,medium_suicides,low_hdi,low_gdp,Generation X
Albania,1987,male,35-54,medium_population,medium_suicides,low_hdi,low_gdp,Silent
Albania,1987,female,15-24,medium_population,medium_suicides,low_hdi,low_gdp,Generation X
Albania,1987,male,75+,low_population,medium_suicides,low_hdi,low_gdp,G.I. Generation
Albania,1987,male,25-34,medium_population,medium_suicides,low_hdi,low_gdp,Boomers
Albania,1987,female,75+,low_population,medium_suicides,low_hdi,low_gdp,G.I. Generation
Albania,1987,female,35-54,medium_population,medium_suicides,low_hdi,low_gdp,Silent
Albania,1987,female,25-34,medium_population,medium_suicides,low_hdi,low_gdp,Boomers
Albania,1987,male,55-74,medium_population,low_suicides,low_hdi,low_gdp,G.I. Generation
Albania,1987,female,5-14,medium_population,low_suicides,low_hdi,low_gdp,Generation X
Albania,1987,female,55-74,medium_population,low_suicides,low_hdi,low_gdp,G.I. Generation
Albania,1987,male,5-14,medium_population,low_suicides,low_hdi,low_gdp,Generation X
Albania,1988,female,75+,low_population,medium_suicides,low_hdi,low_gdp,G.I. Generation
Albania,1988,male,15-24,medium_population,medium_suicides,low_hdi,low_gdp,Generation X
Albania,1988,male,75+,low_population,medium_suicides,low_hdi,low_gdp,G.I. Generation
Albania,1988,male,35-54,medium_population,medium_suicides,low_hdi,low_gdp,Silent
Albania,1988,male,55-74,medium_population,medium_suicides,low_hdi,low_gdp,G.I. Generation
Albania,1988,female,15-24,medium_population,medium_suicides,low_hdi,low_gdp,Generation X
Albania,1988,female,55-74,medium_population,medium_suicides,low_hdi,low_gdp,G.I. Generation
Albania,1988,female,25-34,medium_population,medium_suicides,low_hdi,low_gdp,Boomers
Albania,1988,male,25-34,medium_population,medium_suicides,low_hdi,low_gdp,Boomers
Albania,1988,female,35-54,medium_population,medium_suicides,low_hdi,low_gdp,Silent
Albania,1988,female,5-14,medium_population,low_suicides,low_hdi,low_gdp,Generation X
Albania,1988,male,5-14,medium_population,low_suicides,low_hdi,low_gdp,Generation X
Albania,1989,male,75+,low_population,medium_suicides,low_hdi,low_gdp,G.I. Generation
Albania,1989,male,25-34,medium_population,medium_suicides,low_hdi,low_gdp,Boomers
Albania,1989,male,35-54,medium_population,medium_suicides,low_hdi,low_gdp,Silent
Albania,1989,male,55-74,medium_population,medium_suicides,low_hdi,low_gdp,G.I. Generation
Albania,1989,male,15-24,medium_population,medium_suicides,low_hdi,low_gdp,Generation X
Albania,1989,female,35-54,medium_population,medium_suicides,low_hdi,low_gdp,Silent
Albania,1989,female,15-24,medium_population,medium_suicides,low_hdi,low_gdp,Generation X
Albania,1989,female,25-34,medium_population,low_suicides,low_hdi,low_gdp,Boomers
Albania,1989,female,55-74,medium_population,low_suicides,low_hdi,low_gdp,G.I. Generation
Albania,1989,female,5-14,medium_population,low_suicides,low_hdi,low_gdp,Generation X
Albania,1989,female,75+,low_population,low_suicides,low_hdi,low_gdp,G.I. Generation
Albania,1989,male,5-14,medium_population,low_suicides,low_hdi,low_gdp,Generation X
Albania,1992,male,35-54,medium_population,medium_suicides,low_hdi,low_gdp,Boomers
Albania,1992,male,15-24,medium_population,medium_suicides,low_hdi,low_gdp,Generation X
Albania,1992,male,55-74,medium_population,medium_suicides,low_hdi,low_gdp,Silent
Albania,1992,male,25-34,medium_population,medium_suicides,low_hdi,low_gdp,Boomers
Albania,1992,female,15-24,medium_population,medium_suicides,low_hdi,low_gdp,Generation X
Albania,1992,female,25-34,medium_population,medium_suicides,low_hdi,low_gdp,Boomers
Albania,1992,female,35-54,medium_population,low_suicides,low_hdi,low_gdp,Boomers
Albania,1992,female,55-74,medium_population,low_suicides,low_hdi,low_gdp,Silent
Albania,1992,female,5-14,medium_population,low_suicides,low_hdi,low_gdp,Millenials
Albania,1992,female,75+,low_population,low_suicides,low_hdi,low_gdp,G.I. Generation
Albania,1992,male,5-14,medium_population,low_suicides,low_hdi,low_gdp,Millenials
Albania,1992,male,75+,low_population,low_suicides,low_hdi,low_gdp,G.I. Generation
Albania,1993,male,15-24,medium_population,medium_suicides,low_hdi,low_gdp,Generation X
Albania,1993,male,55-74,medium_population,medium_suicides,low_hdi,low_gdp,Silent
Albania,1993,male,75+,low_population,medium_suicides,low_hdi,low_gdp,G.I. Generation
Albania,1993,male,25-34,medium_population,medium_suicides,low_hdi,low_gdp,Boomers
